address,lat,lng,price,bed,bath,sqft,lotSize,property_type,property_style,year_built
"Cabot Trail Wreck Cove, NS B0C 1H0",0.0,0.0,259000.0,,,0,302468.0,Land,,
"659 White Point Rd South Harbour, NS B0C 1G0",46.874004,-60.427776,349000.0,3.0,1.0,0,39979.0,Single Family,,1978.0
"7 Bell Bay Way Baddeck, NS B0C 1H0",0.0,0.0,150000.0,3.0,3.0,0,126324.0,Single Family,Contemporary,2010.0
"41251 Cabot Trl Wreck Cove, NS B0C 1H0",0.0,0.0,230000.0,,,0,479160.0,Land,,
"36188 Cabot Trl Ingonish, NS B0C 1L0",46.691974,-60.378964,590000.0,,,0,42493.0,Other,,
"Harbour View Drive|whitty Shore Ingonish Beach, NS B0C 1L0",0.0,0.0,99500.0,,,0,74313.0,Land,,
"Bay St Lawrence Road Aspy Bay, NS B0C 1G0",0.0,0.0,250000.0,,,0,1001880.0,Land,,
"Forks Baddeck Upper Baddeck River, NS B0C 1H0",0.0,0.0,115000.0,,,0,5314320.0,Land,,
"2 Cabot Trl Ingonish, NS B0C 1K0",46.094444,-60.8661,59999.0,,,0,80586.0,Land,,
"50103 Cabot Trl St. Anns, NS B0C 1H0",0.0,0.0,240000.0,,,0,92783.0,Land,,
"184 Highway 312 Englishtown, NS B0C 1H0",0.0,0.0,619900.0,2.0,1.0,0,87120.0,Single Family,,
"35849 Cabot Trail Rd Ingonish, NS B0C 1K0",46.69437,-60.358128,799000.0,3.0,3.0,0,,Single Family,"3 Level,Chalet",2003.0
"50 Water Tower Rd Ingonish Beach, NS B0C 1K0",46.639164,-60.411922,999000.0,3.0,3.0,0,93218.0,Single Family,Contemporary,2011.0
"20 Courtney Rd Cape North, NS B0C 1G0",46.885071,-60.499329,225000.0,2.0,1.0,0,56175.0,Single Family,Bungalow,
"Cabot Trail Ingonish Ferry, NS B0C 1L0",46.350071,-60.573822,199000.0,,,0,610872.0,Land,,
"2293 Highway 312 River Bennett, NS B0C 1H0",46.311432,-60.590744,135000.0,2.0,1.0,0,47916.0,Single Family,"Cottage,Camp",1986.0
"10 White Point Rd #-1 Smelt Brook, NS B0C 1N0",46.866012,-60.462883,54900.0,,,0,501376.0,Land,,
"10 White Point Rd #-2 Smelt Brook, NS B0C 1N0",46.866026,-60.46288,54900.0,,,0,409900.0,Land,,
"Lot 02 2 Cabot Trail Birch Plain, NS B0C 1H0",46.094443,-60.866099,199000.0,,,0,325363.0,Land,,
"Cabot Trail Wreck Cove, NS B0C 1H0",46.350071,-60.573822,99999.0,,,0,1907079.0,Land,,
"0 Cabot Trail 2023 1 Birch Plain, NS B0C 1H0",46.09449,-60.866653,230000.0,,,0,315231.0,Land,,
"0 Cabot Trail 2023 2 Birch Plain, NS B0C 1H0",46.09449,-60.866653,230000.0,,,0,325524.0,Land,,
"940 Highway 312 Englishtown, NS B0C 1H0",0.0,0.0,950000.0,,,0,4173501.0,Other,,
"938 Highway 312 Englishtown, NS B0C 1H0",46.311432,-60.590744,950000.0,4.0,2.0,0,4173501.0,Single Family,Bungalow,2004.0
"45143 Cabot Trl North Shore, NS B0C 1H0",46.404255,-60.484558,948000.0,3.0,3.0,0,,Single Family,,
"93 Pates Ln Richmond, Subd. A, NS B0E 2X0",45.634098,-60.999409,29900.0,,,0,26998.0,Land,,
"5 Tower Road Mulgrave, NS B0E 2G0",45.604389,-61.391266,32000.0,,,0,33537.0,Land,,
"322 Main St Mulgrave, NS B0E 2G0",45.614128,-61.392315,49000.0,,,0,1599.0,Land,,
"Lennox Passage Road Lennox Passage, NS B0E 1K0",0.0,0.0,89900.0,,,0,1814710.0,Land,,
"2811 Highway 395 East Lake Ainslie, NS B0E 3M0",46.017288,-61.142929,349900.0,3.0,2.0,0,35719.0,Single Family,,1967.0
"Highway 252 Stewartdale, NS B0E 3M0",0.0,0.0,100000.0,,,0,5445000.0,Land,,
"341 Wall St Cape George Estates, NS B0E 3B0",45.720795,-60.810394,699900.0,4.0,3.0,0,442570.0,Single Family,2 Level,1999.0
"315 Middle St Mulgrave, NS B0E 2G0",45.611557,-61.391533,189999.0,3.0,2.0,0,10001.0,Single Family,Bungalow,1955.0
"Lot River Denys Road Judique, NS B0E 1P0",0.0,0.0,50000.0,,,0,174240.0,Land,,
"Lots Potato Island Poirierville, NS B0E 1K0",0.0,0.0,74900.0,,,0,43560.0,Land,,
"165 Diana Mountain Rd The Points West Bay, NS B0E 3K0",0.0,0.0,699000.0,4.0,3.0,0,330620.0,Single Family,Chalet,1997.0
"Lot 16 Lower River Road Grantville, NS B0E 1J0",0.0,0.0,95000.0,,,0,174240.0,Land,,
"Lot 5 South Cove Road|south Cove South Cove, NS B0E 1T0",0.0,0.0,95000.0,,,0,126045.0,Land,,
"Macleod Island Lennox Passage, NS B0E 1V0",0.0,0.0,349000.0,,,0,4486680.0,Land,,
"Lot 15 Lake Road Grand Lake, NS B0E 1A0",0.0,0.0,29900.0,,,0,180338.0,Land,,
"12723 Cabot Trl Grand Tang, NS B0E 1H0",46.533417,-61.058567,310000.0,4.0,2.0,0,196020.0,Single Family,,1942.0
"Lot 4 Alpine Ridge Road Mabou, NS B0E 1X0",0.0,0.0,34900.0,,,0,86236.0,Land,,
"27 Hedgerow Ln St George's Channel, NS B0E 3K0",0.0,0.0,119000.0,3.0,2.0,0,63162.0,Single Family,"Cottage,Camp",
"3361 W Bay Rd West Bay, NS B0E 3K0",45.717464,-61.04768,1485000.0,3.0,3.0,0,101930.0,Single Family,Bungalow,
"Lot 4 South Cove Road|south Cove South Cove, NS B0E 1T0",0.0,0.0,95000.0,,,0,141008.0,Land,,
"9306 Pepperell St St. Peter's, NS B0E 3B0",0.0,0.0,279000.0,4.0,1.0,0,19998.0,Single Family,,1924.0
"Lot 3 South Cove Road South Cove, NS B0E 1T0",0.0,0.0,95000.0,,,0,159090.0,Land,,
"525 Chebucto St Victoria, Subd. B, NS B0E 1B0",46.101074,-60.748775,649000.0,4.0,4.0,0,8682.0,Single Family,,
"Ashfield Road River Denys, NS B0E 2Y0",45.886456,-61.164753,20000.0,,,0,773626.0,Land,,
"Lot 2 Cabot Trail MARGAREE CENTRE, NS B0E 2B0",46.09446,-60.866115,48000.0,,,0,74052.0,Land,,
"442 Ss River Bourgeois Rd River Bourgeois, NS B0E 2X0",0.0,0.0,249900.0,3.0,1.0,0,48352.0,Single Family,2 Level,
"Lot 15 Lake Road West Arichat, NS B0E 1A0",0.0,0.0,29900.0,,,0,180338.0,Land,,
"Lots 1 - 5 South Cove Road|south Cove South Cove, NS B0E 1T0",0.0,0.0,375000.0,,,0,126045.0,Land,,
"2835 Highway 395 East Lake Ainslie, NS B0E 3M0",0.0,0.0,617000.0,3.0,2.0,0,100188.0,Single Family,,
"4218 Highway 206 Little Anse, NS B0E 3C0",0.0,0.0,149000.0,1.0,1.0,0,3250.0,Single Family,,
"105 Highway Unit 9676 Whycocomagh, NS B0E 3M0",45.96957,-61.111549,239000.0,2.0,1.0,0,29503.0,Single Family,"Bungalow,Cottage,Camp",
"Lot 1 & 2 Shore Road Judique North, NS B0E 1P0",0.0,0.0,1500000.0,,,0,3208865.0,Land,,
"Lot 3 Alpine Ridge Road Mabou, NS B0E 1X0",0.0,0.0,34900.0,,,0,89925.0,Land,,
"Lot 2 Whycocomaghport Hood Road Mabou, NS B0E 1X0",0.0,0.0,34900.0,,,0,92992.0,Land,,
"Lot 1 Whycocomaghport Hood Road Mabou, NS B0E 1X0",0.0,0.0,44900.0,,,0,87904.0,Land,,
"1262 Rear Intervale Rd Judique North, NS B0E 1P0",45.930084,-61.403792,249000.0,,,0,8712000.0,Land,,
"Lot 5 Alpine Ridge Road Mabou, NS B0E 1X0",0.0,0.0,34900.0,,,0,86785.0,Land,,
"5926 Marble Mountain Rd Marble Mountain, NS B0E 3K0",0.0,0.0,680000.0,2.0,2.0,0,119790.0,Single Family,2 Level,1982.0
"East Side Grand River Road GRAND LAKE, NS B0E 1M0",0.0,0.0,180000.0,,,0,3415104.0,Land,,
"Lot 6 Alpine Ridge Road Mabou, NS B0E 1X0",0.0,0.0,34900.0,,,0,87695.0,Land,,
"255 Big Harbour Island Rd Malagawash, NS B0E 2K0",45.88073,-60.9949,210000.0,3.0,1.0,0,105450.0,Single Family,Mini,1991.0
"0 Whycocomagh Mountain Road Whycocomagh 2, NS B0E 3M0",0.0,0.0,109900.0,,,0,4356000.0,Land,,
"386 Maple Dr Cape George Estates, NS B0E 3B0",0.0,0.0,599900.0,2.0,3.0,0,107593.0,Single Family,2 Level,2009.0
"Lot 1a-57 Maple Drive Cape George Estates, NS B0E 3B0",0.0,0.0,110000.0,,,0,115434.0,Land,,
"55 High Rd Port Hood, NS B0E 2W0",46.014538,-61.528023,729000.0,7.0,4.0,0,87172.0,Single Family,,
"15398 Highway 4 Johnstown, NS B0E 3B0",45.631504,-61.592335,499000.0,4.0,2.0,0,3397680.0,Single Family,,
"24 Old Hureauville Rd Cleveland, NS B0E 1J0",45.640976,-61.240524,289000.0,3.0,1.0,0,784080.0,Single Family,Mini,1999.0
"85 Highway 320 Grande Anse, NS B0E 1V0",0.0,0.0,189000.0,3.0,1.0,0,74052.0,Single Family,,1947.0
"62 Platin Rd Inverness, Subd. A, NS B0E 1H0",46.609093,-60.993206,234900.0,2.0,1.0,0,52272.0,Single Family,,1929.0
"Marble Mountain Road Malagawatch, NS B0E 2Y0",45.805046,-61.071404,95000.0,,,0,3702600.0,Land,,
"Marble Mountain Road South Side River Denys, NS B0E 2Y0",45.804634,-61.072605,39500.0,,,0,170755.0,Land,,
"Lot 23ij Diana Mountain Rd The Points West Bay, NS B0E 3K0",0.0,0.0,20000.0,,,0,175547.0,Land,,
"892 Cheticamp Back Rd Belle Marche, NS B0E 1H0",0.0,0.0,280000.0,2.0,1.0,0,42253.0,Single Family,,1932.0
"Lot 1 Evanston Road|river Inhabitants Evanston, NS B0E 1J0",0.0,0.0,127000.0,,,0,429066.0,Land,,
"Cabot Trail Road Chticamp, NS B0E 1H0",46.625149,-61.016396,75000.0,,,0,871200.0,Land,,
"Lot 2 South Cove Road South Cove, NS B0E 1T0",0.0,0.0,99000.0,,,0,224643.0,Land,,
"Lot 1 South Cove Road South Cove, NS B0E 1T0",0.0,0.0,105000.0,,,0,372861.0,Land,,
"227 Shore Rd Baddeck, NS B0E 1B0",46.093067,-60.764027,415000.0,2.0,2.0,0,15560.0,Single Family,,2010.0
"207 Lake Rd West Arichat, NS B0E 3J0",45.543018,-61.066498,690000.0,4.0,2.0,0,98446.0,Single Family,,1996.0
"12272 Highway 105 Bucklaw, NS B0E 3M0",46.023998,-60.974522,109500.0,3.0,1.0,0,20800.0,Single Family,Bungalow,1958.0
"131 Cranton Cross Rd Rd Margaree Centre, NS B0E 1Z0",0.0,0.0,189000.0,,1.0,0,3999.0,Single Family,,1966.0
"3138 Highway 320 D'escousse, NS B0E 1K0",0.0,0.0,109900.0,2.0,1.0,0,87120.0,Single Family,,
"430 Maple Dr Cape George, NS B0E 3B0",0.0,0.0,1700000.0,4.0,5.0,0,103237.0,Single Family,Bungalow,2023.0
"242 Rodney Dr Malagawatch, NS B0E 2Y0",45.875797,-61.230518,965000.0,4.0,5.0,0,165829.0,Single Family,,2019.0
"Lot 11 Duke Lane Malagawatch, NS B0E 2Y0",45.875797,-61.230518,90000.0,,,0,105528.0,Land,,
